Match_no,Date,Team1,Team2,Venue,Winning_team,Player_of_match,Player_of_match_total_impact,Top_scorer,Top_scorer_runs
1st Match ,28-03-2026,SRH,RCB,"M Chinnaswamy Stadium, Bengaluru",RCB ,Jacob Duffy,123.64,Ishan Kishan,80
2nd Match ,29-03-2026,KKR,MI,"Wankhede Stadium, Mumbai",MI ,Shardul Thakur,100.88,Ryan Rickelton,81
3rd Match ,30-03-2026,CSK,RR,"Barsapara Cricket Stadium, Guwahati",RR ,Nandre Burger,71.05,Vaibhav Sooryavanshi,52
4th Match ,31-03-2026,GT,PBKS,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",PBKS ,Cooper Connolly,87.23,Cooper Connolly,72
5th Match ,01-04-2026,LSG,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",DC ,Sameer Rizvi,88.41,Sameer Rizvi,70
6th Match ,02-04-2026,SRH,KKR,"Eden Gardens, Kolkata",SRH ,Nitish Kumar Reddy,60.11,Angkrish Raghuvanshi,52
7th Match ,03-04-2026,CSK,PBKS,"MA Chidambaram Stadium, Chepauk, Chennai",PBKS ,Priyansh Arya,80.61,Ayush Mhatre,73
8th Match ,04-04-2026,MI,DC,"Arun Jaitley Stadium, Delhi",DC ,Sameer Rizvi,102.26,Sameer Rizvi,90
9th Match ,04-04-2026,RR,GT,"Narendra Modi Stadium, Ahmedabad",RR ,Ravi Bishnoi,109.67,Dhruv Jurel,75
10th Match ,05-04-2026,SRH,LSG,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",LSG ,Mohammed Shami,104.16,Rishabh Pant,68
11th Match ,05-04-2026,RCB,CSK,"M Chinnaswamy Stadium, Bengaluru",RCB ,Tim David,79.52,Tim David,70
12th Match ,06-04-2026,KKR,PBKS,"Eden Gardens, Kolkata",No result,Xavier Bartlett,34.82,Ajinkya Rahane,8
13th Match ,07-04-2026,RR,MI,"Barsapara Cricket Stadium, Guwahati",RR ,Yashasvi Jaiswal,79.12,Yashasvi Jaiswal,77
14th Match ,08-04-2026,GT,DC,"Arun Jaitley Stadium, Delhi",GT ,Rashid Khan,100.68,KL Rahul,92
15th Match ,09-04-2026,KKR,LSG,"Eden Gardens, Kolkata",LSG ,Mukul Choudhary,84.33,Mukul Choudhary,54
16th Match ,10-04-2026,RCB,RR,"Barsapara Cricket Stadium, Guwahati",RR ,Vaibhav Sooryavanshi,147.72,Dhruv Jurel,81
17th Match ,11-04-2026,SRH,PBKS,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",PBKS ,Priyansh Arya,88.6,Abhishek Sharma,74
18th Match ,11-04-2026,CSK,DC,"MA Chidambaram Stadium, Chepauk, Chennai",CSK ,Sanju Samson,150.93,Sanju Samson,115
19th Match ,12-04-2026,LSG,GT,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",GT ,Prasidh Krishna,91.54,Jos Buttler,60
20th Match ,12-04-2026,RCB,MI,"Wankhede Stadium, Mumbai",RCB ,Phil Salt,98.97,Phil Salt,78
21st Match ,13-04-2026,SRH,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH ,Ishan Kishan,135.76,Ishan Kishan,91
22nd Match ,14-04-2026,CSK,KKR,"MA Chidambaram Stadium, Chepauk, Chennai",CSK ,Ayush Mhatre,58.5,Sanju Samson,48
23rd Match ,15-04-2026,LSG,RCB,"M Chinnaswamy Stadium, Bengaluru",RCB ,Rasikh Salam,66.14,Virat Kohli,49
24th Match ,16-04-2026,MI,PBKS,"Wankhede Stadium, Mumbai",PBKS ,Arshdeep Singh,125.55,Quinton de Kock,112
25th Match ,17-04-2026,KKR,GT,"Narendra Modi Stadium, Ahmedabad",GT ,Shubman Gill,110.21,Shubman Gill,86
26th Match ,18-04-2026,RCB,DC,"M Chinnaswamy Stadium, Bengaluru",DC ,Axar Patel,77.3,Phil Salt,63
27th Match ,18-04-2026,SRH,CSK,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH ,Abhishek Sharma,89.55,Abhishek Sharma,59
28th Match ,19-04-2026,RR,KKR,"Eden Gardens, Kolkata",KKR ,Varun Chakravarthy,101.65,Rinku Singh,53
29th Match ,19-04-2026,PBKS,LSG,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",PBKS ,Priyansh Arya,123.34,Priyansh Arya,93
30th Match ,20-04-2026,MI,GT,"Narendra Modi Stadium, Ahmedabad",MI ,Tilak Varma,178.73,Tilak Varma,101
31st Match ,21-04-2026,SRH,DC,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH ,Abhishek Sharma,130.62,Abhishek Sharma,135
32nd Match ,22-04-2026,RR,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",RR ,Ravindra Jadeja,77.83,Mitchell Marsh,55
33rd Match ,23-04-2026,CSK,MI,"Wankhede Stadium, Mumbai",CSK ,Sanju Samson,151.72,Sanju Samson,101
34th Match ,24-04-2026,GT,RCB,"M Chinnaswamy Stadium, Bengaluru",RCB ,Virat Kohli,85.89,Sai Sudharsan,100
35th Match ,25-04-2026,DC,PBKS,"Arun Jaitley Stadium, Delhi",PBKS ,KL Rahul,117.19,KL Rahul,152
36th Match ,25-04-2026,RR,SRH,"Sawai Mansingh Stadium, Jaipur",SRH ,Ishan Kishan,97.02,Vaibhav Sooryavanshi,103
37th Match ,26-04-2026,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",GT ,Sai Sudharsan,88.56,Sai Sudharsan,87
38th Match ,26-04-2026,KKR,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",KKR(Won On Super Over),Rinku Singh,135.51,Rinku Singh,83
39th Match ,27-04-2026,DC,RCB,"Arun Jaitley Stadium, Delhi",RCB ,Josh Hazlewood,90.09,Devdutt Padikkal,34
40th Match ,28-04-2026,PBKS,RR,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",RR ,Yash Raj Punja,64.57,Marcus Stoinis,62
41st Match ,29-04-2026,MI,SRH,"Wankhede Stadium, Mumbai",SRH ,Travis Head,100.06,Ryan Rickelton,123
42nd Match ,30-04-2026,RCB,GT,"Narendra Modi Stadium, Ahmedabad",GT ,Rashid Khan,63.8,Shubman Gill,43
43rd Match ,01-05-2026,RR,DC,"Sawai Mansingh Stadium, Jaipur",DC ,Mitchell Starc,92.89,Riyan Parag,90
44th Match ,02-05-2026,MI,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",CSK ,Noor Ahmad,70.95,Ruturaj Gaikwad,67
45th Match ,03-05-2026,SRH,KKR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KKR ,Varun Chakravarthy,65.7,Travis Head,61
46th Match ,03-05-2026,PBKS,GT,"Narendra Modi Stadium, Ahmedabad",GT ,Jason Holder,80.21,Suryansh Shedge,57
